;instance;smallest nodes;mean random nodes;smallest time;mean random time
0;3 queens;1;1;0.0;0.0001
1;4 queens;6;5;0.0;0.0003
2;5 queens;6;6;0.0009958744049072266;0.0008
3;6 queens;14;11;0.0010023117065429688;0.0012
4;7 queens;12;10;0.001999378204345703;0.0014
5;8 queens;19;12;0.0029993057250976562;0.0019
6;9 queens;30;17;0.004996776580810547;0.0037
7;10 queens;34;17;0.006995439529418945;0.0084
8;11 queens;77;34;0.0160064697265625;0.0078
9;12 queens;79;46;0.019998788833618164;0.0116
10;13 queens;117;25;0.03696036338806152;0.0088
11;14 queens;154;52;0.04799818992614746;0.0184
12;15 queens;16;47;0.013998985290527344;0.0207
13;16 queens;88;42;0.039975643157958984;0.022
14;17 queens;282;84;0.09499812126159668;0.0422
15;18 queens;23;50;0.02999424934387207;0.0367
16;19 queens;87;39;0.06303548812866211;0.0372
17;20 queens;202;55;0.10199904441833496;0.0604
18;21 queens;33;41;0.06003284454345703;0.0555
19;22 queens;29;56;0.06700491905212402;0.0856
20;23 queens;47;58;0.24299883842468262;0.1593
21;24 queens;275;85;0.18199539184570312;0.1054
22;25 queens;85;50;0.13799571990966797;0.0974
23;26 queens;88;56;0.1440112590789795;0.1112
24;27 queens;104;684;0.17103338241577148;0.4008
25;28 queens;88;156;0.22700214385986328;0.1956
26;29 queens;236;90;0.2629666328430176;0.1911
27;30 queens;133;115;0.22603797912597656;0.2417
28;31 queens;47;156;0.2480785846710205;0.2727
29;32 queens;63;140;0.28694701194763184;0.2908
30;33 queens;253;113;0.4049966335296631;0.3168
31;34 queens;42;98;0.3249828815460205;0.3392
32;35 queens;54;771;0.3769834041595459;0.6944
33;36 queens;40;138;0.4850339889526367;0.4284
34;37 queens;46;115;0.4160003662109375;0.4545
35;38 queens;51;141;0.5122361183166504;0.5541
36;39 queens;67;272;0.5460000038146973;0.6948
37;40 queens;65;195;0.6650021076202393;0.662
38;41 queens;48;131;0.6350011825561523;0.6635
39;42 queens;47;471;0.9710423946380615;1.0455
40;43 queens;62;126;1.0030407905578613;0.9646
41;44 queens;49;948;0.8771555423736572;1.3766
42;45 queens;53;318;0.946159839630127;1.0461
43;46 queens;55;444;0.999950647354126;1.2065
44;47 queens;57;129;1.0310394763946533;1.1289
45;48 queens;58;88;2.45300555229187;1.2684
46;49 queens;61;199;1.2379961013793945;1.3046
