;instance;time;backtrack nodes;time_limit;finished
0;almost_full;0.006997585296630859;82;30;True
1;easy1;0.004963397979736328;120;30;True
2;easy10;0.005990028381347656;82;30;True
3;easy2;0.08295035362243652;1587;30;True
4;easy3;0.010972023010253906;177;30;True
5;easy4;0.006036043167114258;119;30;True
6;easy5;0.008032083511352539;157;30;True
7;easy6;0.016997814178466797;366;30;True
8;easy7;0.003989219665527344;92;30;True
9;easy8;0.007000923156738281;104;30;True
10;easy9;0.0039708614349365234;82;30;True
11;intermediate1;0.007037162780761719;115;30;True
12;intermediate10;0.10899043083190918;1547;30;True
13;intermediate2;0.012996435165405273;175;30;True
14;intermediate3;0.003996372222900391;82;30;True
15;intermediate4;0.006974697113037109;144;30;True
16;intermediate5;0.015005826950073242;323;30;True
17;intermediate6;0.022985219955444336;537;30;True
18;intermediate7;0.07298851013183594;1598;30;True
19;intermediate8;0.003992557525634766;90;30;True
20;intermediate9;0.003995656967163086;88;30;True
21;expert1;0.0049686431884765625;94;30;True
22;expert10;0.022997140884399414;484;30;True
23;expert2;0.006025791168212891;137;30;True
24;expert3;0.00599980354309082;132;30;True
25;expert4;0.004005908966064453;86;30;True
26;expert5;0.0059986114501953125;143;30;True
27;expert6;0.026958942413330078;658;30;True
28;expert7;0.006990671157836914;158;30;True
29;expert8;0.06899809837341309;1390;30;True
30;expert9;0.007002353668212891;151;30;True
